ano,presidente,indicador_gastos_vice_presidencia,data_pagamento,nome_fornecedor,subelemento_despesa,valor
2019,Bolsonaro,0,2019-01-04,BIG TRANS COMERCIAL DE ALIMENTOS LTDA,GENEROS DE ALIMENTAÇÃO,303.78
2019,Bolsonaro,0,2019-01-04,SHOPPING DOS COSMÉTICOS,MATERIAL DE LIMPEZA E PROD. DE HIGIENIZAÇÃO,63.7
2019,Bolsonaro,0,2019-01-04,PEIXARIA GUARA LTDA,GENEROS DE ALIMENTAÇÃO,3749.99
2019,Bolsonaro,0,2019-01-04,BIG TRANS COMERCIAL DE ALIMENTOS LTDA,GENEROS DE ALIMENTAÇÃO,42.02
2019,Bolsonaro,0,2019-01-04,DISTRIBUIDORA DE CARNE MORRO BRANCO LTDA - ME,GENEROS DE ALIMENTAÇÃO,614.88
2019,Bolsonaro,0,2019-01-04,ARMAZÉM DO GERALDO COMÉRCIO DE MERCEARIA LTDA.,GENEROS DE ALIMENTAÇÃO,83.96
2019,Bolsonaro,0,2019-01-04,BIG TRANS COMERCIAL DE ALIMENTOS LTDA,GENEROS DE ALIMENTAÇÃO,232.64
2019,Bolsonaro,0,2019-01-04,DROGARIA SÃO PAULO S.A,MATERIAL FARMACOLOGICO,104.97
2019,Bolsonaro,0,2019-01-04,DROGARIA SÃO PAULO S.A,MATERIAL DE LIMPEZA E PROD. DE HIGIENIZAÇÃO,602.3
2019,Bolsonaro,0,2019-01-04,PET SHOP ARMAZEM DO GATO LTDA,MATERIAL DE LIMPEZA E PROD. DE HIGIENIZAÇÃO,81.0
2019,Bolsonaro,0,2019-01-04,IOMAR PEREIRA (CASA DAS ARARAS),"MATERIAL DE CAMA,MESA E BANHO",3200.0
2019,Bolsonaro,0,2019-01-04,FELIX ELETRONICA E INFORMATICA LTDA,MATERIAL ELETRICO E ELETRONICO,164.85
2019,Bolsonaro,0,2019-01-04,SÓ REPAROS MATERIAIS DE CONSTRUÇÃO LTDA,MATERIAL DE EXPEDIENTE,466.04
2019,Bolsonaro,0,2019-01-02,BIG TRANS COMERCIAL DE ALIMENTOS LTDA,GENEROS DE ALIMENTAÇÃO,1367.21
