ano,presidente,indicador_gastos_vice_presidencia,data_pagamento,nome_fornecedor,subelemento_despesa,valor
2011,Dilma,0,2011-01-04,COPALIMPA PRODUTOS DE LIMPEZA E UTILIDADES LTDA,MATERIAL DE COPA E COZINHA,245.7
2011,Dilma,0,2011-01-04,RIO GRANDE DO SUL,MATERIAL DE COPA E COZINHA,593.03
2011,Dilma,0,2011-01-04,OFÍCIO ROUPAS PROFISSIONAIS,"UNIFORMES, TECIDOS E AVIAMENTOS",300.0
2011,Dilma,0,2011-01-04,OFÍCIO ROUPAS PROFISSIONAIS,"UNIFORMES, TECIDOS E AVIAMENTOS",125.0
2011,Dilma,0,2011-01-04,H.Y.M PRODUTOS NATURAIS LTDA - ME,GENEROS DE ALIMENTAÇÃO,44.6
2011,Dilma,0,2011-01-05,GOLDEN TOWER HOTEIS E TURISMO LTDA,HOSPEDAGENS,1957.2
2011,Dilma,0,2011-01-05,GOLDEN TOWER HOTEIS E TURISMO LTDA,HOSPEDAGENS,291.9
2011,Dilma,0,2011-01-05,GOLDEN TOWER HOTEIS E TURISMO LTDA,HOSPEDAGENS,1621.2
2011,Dilma,0,2011-01-05,GOLDEN TOWER HOTEIS E TURISMO LTDA,HOSPEDAGENS,1495.2
2011,Dilma,0,2011-01-05,GOLDEN TOWER HOTEIS E TURISMO LTDA,HOSPEDAGENS,1373.4
2011,Dilma,0,2011-01-05,GOLDEN TOWER HOTEIS E TURISMO LTDA,HOSPEDAGENS,1665.3
2011,Dilma,0,2011-01-05,GOLDEN TOWER HOTEIS E TURISMO LTDA,HOSPEDAGENS,934.5
2011,Dilma,0,2011-01-05,GOLDEN TOWER HOTEIS E TURISMO LTDA,HOSPEDAGENS,1957.2
2011,Dilma,0,2011-01-06,H.Y.M PRODUTOS NATURAIS LTDA - ME,GENEROS DE ALIMENTAÇÃO,83.4
2011,Dilma,0,2011-01-06,H.Y.M PRODUTOS NATURAIS LTDA - ME,GENEROS DE ALIMENTAÇÃO,205.0
2011,Dilma,0,2011-01-06,CRISTAL LIMPEZA - COMÉRCIO DE MATERIAIS PARA LIMPE,MATERIAL DE LIMPEZA E PROD. DE HIGIENIZAÇÃO,869.2
2011,Dilma,0,2011-01-06,TELEMAR NORTE LESTE S/A,SERVIÇOS DE TELECOMUNICAÇÕES,131.78
2011,Dilma,0,2011-01-06,TELEMAR NORTE LESTE S/A,SERVIÇOS DE TELECOMUNICAÇÕES,186.59
2011,Dilma,0,2011-01-06,RA CATERING LTDA - THE COLLECTION-CUMBICA SP,"SERV.DE APOIO ADMIN.,TECNICO E OPERACIONAL",3790.35
2011,Dilma,0,2011-01-06,RA CATERING LTDA - THE COLLECTION-CUMBICA SP,"SERV.DE APOIO ADMIN.,TECNICO E OPERACIONAL",6790.45
2011,Dilma,0,2011-01-06,RA CATERING LTDA - THE COLLECTION-CUMBICA SP,"SERV.DE APOIO ADMIN.,TECNICO E OPERACIONAL",150.0
2011,Dilma,0,2011-01-07,ESPAÇO NATURAL ALIMENTOS ORGÂNICOS LTDA - ME.,GENEROS DE ALIMENTAÇÃO,169.5
