ano,presidente,indicador_gastos_vice_presidencia,data_pagamento,nome_fornecedor,subelemento_despesa,valor
2003,Lula,0,2003-01-02,JW TRANSPORTADORA TURÍSTICA,LOCACAO DE MEIOS DE TRANSPORTE,1696.9
2003,Lula,0,2003-01-02,JW TRANSPORTADORA TURÍSTICA,LOCACAO DE MEIOS DE TRANSPORTE,1336.6
2003,Lula,0,2003-01-02,JW TRANSPORTADORA TURÍSTICA,LOCACAO DE MEIOS DE TRANSPORTE,1396.43
2003,Lula,0,2003-01-03,FLORES ALVORADA,OUTROS SERVIÇOS DE TERCEIROS-PESSOA JURÍDICA,8585.0
2003,Lula,0,2003-01-03,CRISTAL LIMPEZA - COMÉRCIO DE MATERIAIS PARA LIMPE,MATERIAL DE LIMPEZA E PROD. DE HIGIENIZAÇÃO,251.5
2003,Lula,0,2003-01-03,SEBASTIÃO ALVES DE SOUSA - ME,MATERIAL P/MANUTENÇÃO DE BENS MÓVEIS,105.0
2003,Lula,0,2003-01-03,JOÃO LEITE NETO - ME  -   JLN ELETRONICOS,MATERIAL P/MANUTENÇÃO DE BENS MÓVEIS,200.0
2003,Lula,0,2003-01-03,CONDOMINIO EDIFICIO THE PARK HALL,HOSPEDAGENS,2590.0
2003,Lula,0,2003-01-03,FULL TIME LOCAÇÃO E SERVIÇOS S/C LTDA,LOCACAO DE MEIOS DE TRANSPORTE,3618.7
2003,Lula,0,2003-01-03,COMPANHIA BRASILEIRA DE DISTRIBUIÇÃO,GENEROS DE ALIMENTAÇÃO,716.4
2003,Lula,0,2003-01-05,CIA BRAS. DE DISTRIB.,GENEROS DE ALIMENTAÇÃO,70.71
2003,Lula,0,2003-01-05,CIA BRAS. DE DISTRIB.,MATERIAL DE LIMPEZA E PROD. DE HIGIENIZAÇÃO,33.02
2003,Lula,0,2003-01-05,CIA BRAS. DE DISTRIB.,MATERIAL DE COPA E COZINHA,45.55
2003,Lula,0,2003-01-05,SIMILAR COMERCIAL LTDA,MAN. E CONSERV. DE MÁQUINAS E EQUIPAMENTOS,448.3
2003,Lula,0,2003-01-06,P. MOTA FERRAGENS LTDA - CASA VELHA CAPITAL,OUTROS MATERIAIS DE CONSUMO,37.0
2003,Lula,0,2003-01-06,UTILIDADES DULAR LTDA,MATERIAL DE COPA E COZINHA,208.8
2003,Lula,0,2003-01-06,LIQUOR MARKET BEBIDAS LTDA,GENEROS DE ALIMENTAÇÃO,1216.0
2003,Lula,0,2003-01-06,HOSPITAL DOS BRINQUEDOS LTDA - ME,MAN. E CONSERV. DE MÁQUINAS E EQUIPAMENTOS,50.0
2003,Lula,0,2003-01-07,COMPANHIA BRASILEIRA DE DISTRIBUIÇÃO,GENEROS DE ALIMENTAÇÃO,162.16
2003,Lula,0,2003-01-07,COMPANHIA BRASILEIRA DE DISTRIBUIÇÃO,MATERIAL DE LIMPEZA E PROD. DE HIGIENIZAÇÃO,84.67
2003,Lula,0,2003-01-07,CASAS DA LAVOURA PITTA E SANTOS LTDA,"SEMENTES, MUDAS DE PLANTAS E INSUMOS",21.7
2003,Lula,0,2003-01-07,COPALIMPA PRODUTOS DE LIMPEZA E UTILIDADES LTDA,MATERIAL DE COPA E COZINHA,153.25
2003,Lula,0,2003-01-07,SHIC TELECOMUNICAÇÕES E INFORMÁTICA LTDA,MATERIAL ELETRICO E ELETRONICO,29.3
2003,Lula,0,2003-01-07,RITA CLARA BATISTA DE SOUZA ME,FORNECIMENTO DE ALIMENTAÇÃO,7.5
2003,Lula,0,2003-01-07,RITA CLARA BATISTA DE SOUZA ME,FORNECIMENTO DE ALIMENTAÇÃO,7.5
2003,Lula,0,2003-01-07,RITA CLARA BATISTA DE SOUZA ME,FORNECIMENTO DE ALIMENTAÇÃO,7.5
2003,Lula,0,2003-01-07,RITA CLARA BATISTA DE SOUZA ME,FORNECIMENTO DE ALIMENTAÇÃO,7.5
2003,Lula,0,2003-01-07,ELETRÔNICA COMETA LTDA,MATERIAL ELETRICO E ELETRONICO,74.4
2003,Lula,0,2003-01-08,BIG BOX  COMERCIAL SÃO PATRICIO,COMBUSTIVEIS E LUBRIFICANTES DE AVIÃO,317.67
2003,Lula,0,2003-01-08,KALAMARES COMERCIAL DE ALIMENTOS,GENEROS DE ALIMENTAÇÃO,99.46
2003,Lula,0,2003-01-08,SUPERPÃO INDÚSTRIA E COMÉRCIO LTDA.,GENEROS DE ALIMENTAÇÃO,1042.65
2003,Lula,0,2003-01-08,NOBRE PALACE HOTEL LTDA,FORNECIMENTO DE ALIMENTAÇÃO,10.0
2003,Lula,0,2003-01-08,FLAVIO MAURICIO NEVES,FORNECIMENTO DE ALIMENTAÇÃO,10.0
2003,Lula,0,2003-01-08,LESSA HOTEL LTDA,FORNECIMENTO DE ALIMENTAÇÃO,10.0
2003,Lula,0,2003-01-08,FLAVIO MAURICIO NEVES,FORNECIMENTO DE ALIMENTAÇÃO,10.0
2003,Lula,0,2003-01-08,LESSA HOTEL LTDA,FORNECIMENTO DE ALIMENTAÇÃO,10.0
2003,Lula,0,2003-01-08,BRATEL COMÉRCIO LTDA,MANUT. E CONS. DE BENS MÓVEIS E DE OUTRA NATUREZA,450.0
2003,Lula,0,2003-01-09,SHIC TELECOMUNICAÇÕES E INFORMÁTICA LTDA,MATERIAL ELETRICO E ELETRONICO,85.5
2003,Lula,0,2003-01-09,EFE ELE COMERCIO LTDA,GENEROS DE ALIMENTAÇÃO,347.5
