ano,presidente,indicador_gastos_vice_presidencia,data_pagamento,nome_fornecedor,subelemento_despesa,valor
2017,Temer,0,2017-01-02,COMPANHIA BRASILEIRA DE DISTRIBUIÇÃO,GENEROS DE ALIMENTAÇÃO,60.64
2017,Temer,0,2017-01-02,SUPERMERCADO VAREJAO OBA LTDA,GENEROS DE ALIMENTAÇÃO,433.17
2017,Temer,0,2017-01-02,SUPERMERCADO VAREJAO OBA LTDA,GENEROS DE ALIMENTAÇÃO,709.28
2017,Temer,0,2017-01-02,SUPERMERCADO VAREJAO OBA LTDA,GENEROS DE ALIMENTAÇÃO,638.09
2017,Temer,0,2017-01-02,BIG TRANS COMERCIAL DE ALIMENTOS LTDA,GENEROS DE ALIMENTAÇÃO,119.81
2017,Temer,0,2017-01-02,BARRA BONITA SHOPPING EMPREENDIMENTOS E PARTICIPAÇÕES LTDA,HOSPEDAGENS,1417.5
2017,Temer,0,2017-01-02,BARRA BONITA SHOPPING EMPREENDIMENTOS E PARTICIPAÇÕES LTDA,HOSPEDAGENS,1417.5
2017,Temer,0,2017-01-02,TULIP ITAGUAI HOTELARIA SPE SA,HOSPEDAGENS,6400.8
2017,Temer,0,2017-01-02,H S DE ABREU RESTAURANTE ME,FORNECIMENTO DE ALIMENTAÇÃO,198.0
2017,Temer,0,2017-01-03,SUPERMERCADO VAREJAO OBA LTDA,GENEROS DE ALIMENTAÇÃO,477.45
2017,Temer,0,2017-01-03,BIG TRANS COMERCIAL DE ALIMENTOS LTDA,GENEROS DE ALIMENTAÇÃO,1146.12
2017,Temer,0,2017-01-03,COMPANHIA BRASILEIRA DE DISTRIBUIÇÃO,GENEROS DE ALIMENTAÇÃO,438.64
2017,Temer,0,2017-01-03,SUPERMERCADO VAREJAO OBA LTDA,GENEROS DE ALIMENTAÇÃO,661.12
2017,Temer,0,2017-01-03,SUPERMERCADO VAREJAO OBA LTDA,GENEROS DE ALIMENTAÇÃO,296.71
2017,Temer,0,2017-01-03,HOTEL PORTO DE ITACURUÇA LTDA E OUTRA,HOSPEDAGENS,13460.0
2017,Temer,0,2017-01-03,LUIZ CARLOS BISPO DOS SANTOS,MATERIAL BIBLIOGRÁFICO NÃO IMOBILIZÁVEL,111.3
2017,Temer,0,2017-01-04,SUPERMERCADO VAREJAO OBA LTDA,GENEROS DE ALIMENTAÇÃO,631.08
2017,Temer,0,2017-01-04,SUPERMERCADO VAREJAO OBA LTDA,GENEROS DE ALIMENTAÇÃO,129.78
2017,Temer,0,2017-01-04,BANCA DE JORNAL DO IATE CLUBE,GENEROS DE ALIMENTAÇÃO,371.75
